Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2014,7,1,11,6,ENG - Solid Waste,Sanitation,Cart - Garbage,7##,E 17TH AV,Kensington-Cedar Cottage
2014,7,1,11,15,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,8##,W 22ND AV,South Cambie
2014,7,1,11,15,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,84##,ELLIOTT ST,Killarney
2014,7,1,11,15,CSG - Inspections,Property Use,PUI Noise Complaint Case,54##,HEATHER ST,South Cambie
2014,7,1,11,17,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,15##,KINGSWAY,Kensington-Cedar Cottage
2014,7,1,11,31,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,EARLES ST and VANNESS AV,Renfrew-Collingwood
2014,7,1,11,36,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,32##,W 35TH AV,Dunbar Southlands
2014,7,1,11,37,CSG - Inspections,Property Use,PUI Noise Complaint Case,79##,BIRCH ST,Marpole
2014,7,1,11,37,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,19##,COMOX ST,West End
2014,7,1,11,41,CSG - Licenses,Animal Control,Lost Pets Case,20##,W GEORGIA ST,
2014,7,1,11,41,CSG - Inspections,Property Use,PUI Noise Complaint Case,##,E 52ND AV,Sunset
2014,7,1,11,56,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,7##,W 70TH AV,
2014,7,1,12,10,CSG - Licenses,Animal Control,Lost Pets Case,10##,LAGOON DRIVE,
2014,7,1,12,12,CSG - Inspections,Property Use,PUI Noise Complaint Case,39##,PERRY ST,Kensington-Cedar Cottage
2014,7,1,12,17,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,71##,CAMANO ST,Killarney
2014,7,1,12,28,CSG - Licenses,Animal Control,Lost Pets Case,27##,PANDORA ST,Hastings-Sunrise
2014,7,1,12,29,CSG - Licenses,Animal Control,Animal Control General Inquiry Case,18##,SPYGLASS PLACE,Fairview
2014,7,1,12,42,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,48##,NW MARINE DRIVE,
2014,7,1,12,42,ENG - Solid Waste,Sanitation,Cart - Garbage,3##,E 65TH AV,Sunset
2014,7,1,12,47,ENG - Water & Sewer,Water Design,Water Conservation Violation,31##,GRANT ST,Hastings-Sunrise
2014,7,1,12,49,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23##,E 30TH AV,Renfrew-Collingwood
2014,7,1,12,50,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,22##,E 6TH AV,Grandview-Woodland
2014,7,1,12,54,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,10##,LAGOON DRIVE,
2014,7,1,12,58,ENG - Water & Sewer,Water Operations,Water Hydrant Issue,56##,STANLEY PARK DRIVE,
2014,7,1,13,5,ENG - Solid Waste,Sanitation,Recycling Bag Request,54##,MANSON ST,South Cambie
2014,7,1,13,18,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,Intersection,HAMILTON ST and NELSON ST,Downtown
2014,7,1,13,23,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1600, - 1699 SW MARINE DRIVE,Marpole
2014,7,1,13,32,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,33##,W 4TH AV,Kitsilano
2014,7,1,13,37,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,16##,PENDRELL ST,West End
2014,7,1,13,44,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,500, - 599 WINDERMERE ST,Hastings-Sunrise
2014,7,1,13,50,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,5##,BEATTY ST,Downtown
2014,7,1,13,58,CSG - Licenses,Animal Control,Dead Animal Pickup Case,42##,BEATRICE ST,Kensington-Cedar Cottage
2014,7,1,14,7,CSG - Licenses,Animal Control,Holding Stray Case,13##,CARTWRIGHT ST,Fairview
2014,7,1,14,9,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,1##,MILROSS AV,Downtown
2014,7,1,14,13,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,1##,MILROSS AV,Downtown
2014,7,1,14,22,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,##,W PENDER ST,Downtown
2014,7,1,14,29,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,33##,PARKER ST,Hastings-Sunrise
2014,7,1,14,32,ENG - Transportation,Traffic and Data Management,Traffic Sign - New,3500, - 3799 GRANDVIEW HIGHWAY,
2014,7,1,14,41,CSG - Licenses,Animal Control,Lost Pets Case,7##,E 28TH AV,Kensington-Cedar Cottage
2014,7,1,14,41,ENG - Streets,Traffic and Electrical Operations,Street Light - New/Relocation,15##,COMOX ST,West End
2014,7,1,14,44,CSG - Licenses,Animal Control,Lost Pets Case,7##,E 28TH AV,Kensington-Cedar Cottage
2014,7,1,15,7,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,45##,ELGIN ST,Kensington-Cedar Cottage
2014,7,1,15,9,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,28##,E 22ND AV,Renfrew-Collingwood
2014,7,1,15,10,Business Planning & Services,311 Contact Centre,Citizen Feedback,2200, - 2299 W 4TH AV,Kitsilano
2014,7,1,15,20,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,8600, - 8799 BOUNDARY ROAD,
2014,7,1,15,33,CSG - Licenses,Animal Control,Animal Control General Inquiry Case,35##,THRUSH PLACE,Killarney
2014,7,1,15,56,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,27##,E HASTINGS ST,Hastings-Sunrise
2014,7,1,15,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,100, - 199 SEMLIN DRIVE,Grandview-Woodland
2014,7,1,16,6,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,16##,PENDRELL ST,West End
2014,7,1,16,18,CSG - Inspections,Property Use,PUI PNE Noise Complaint Case,29##,E HASTINGS ST,Hastings-Sunrise
2014,7,1,16,35,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,72##,NANAIMO ST,Victoria-Fraserview
2014,7,1,16,39,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,52##,ELGIN ST,Kensington-Cedar Cottage
2014,7,1,16,42,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,DUNLEVY AV and E HASTINGS ST,Strathcona
2014,7,1,16,46,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,7##,W 41ST AV,
2014,7,1,16,48,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,7##,W 41ST AV,
2014,7,1,16,51,CSG - Licenses,Animal Control,Holding Stray Case,30##,E 17TH AV,Renfrew-Collingwood
2014,7,1,17,1,CSG - Licenses,Animal Control,Animal Cremation Case,21##,W 10TH AV,Kitsilano
2014,7,1,17,10,CSG - Licenses,Animal Control,Dead Animal Pickup Case,30##,W 39TH AV,Dunbar Southlands
2014,7,1,17,19,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,27##,E KENT AV SOUTH,Killarney
2014,7,1,17,25,CSG - Licenses,Animal Control,Lost Pets Case,75##,KIELDER COURT,Killarney
2014,7,1,17,33,ENG - Streets,Streets Operations,Pothole - Repair,400, - 499 W 13TH AV,Mount Pleasant
2014,7,1,18,8,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,4##,E 38TH AV,Riley Park
2014,7,1,18,13,CSG - Inspections,Property Use,PUI General Inquiry Case,Intersection,E 1ST AV and RENFREW ST,Hastings-Sunrise
2014,7,1,18,29,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,35##,W KING EDWARD AV,Dunbar Southlands
2014,7,1,18,36,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,17##,E BROADWAY,Kensington-Cedar Cottage
2014,7,1,18,56,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,W 62ND AV and YUKON ST,Marpole
2014,7,1,19,17,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,2900, - 3099 E HASTINGS ST,Hastings-Sunrise
2014,7,1,19,21,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,COLUMBIA ST and W 5TH AV,Mount Pleasant
2014,7,1,19,21,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,CAMBIE ST and W BROADWAY,Mount Pleasant
2014,7,1,19,27,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,6##,E 15TH AV,Mount Pleasant
2014,7,1,19,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,38##,GLENGYLE ST,Kensington-Cedar Cottage
2014,7,1,19,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,19##,E 22ND AV,Kensington-Cedar Cottage
2014,7,1,19,47,ENG - Transportation,Neighbourhood Parking and Transportation,Traffic Calming Request,Intersection,E 7TH AV and SCOTIA ST,Mount Pleasant
2014,7,1,19,58,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,47##,DUNBAR ST,Dunbar Southlands
2014,7,1,20,5,ENG - Water & Sewer,Water Design,Water Conservation Violation,40##,SW MARINE DRIVE,Dunbar Southlands
2014,7,1,20,11,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),5##,W 62ND AV,Marpole
2014,7,1,20,20,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,8##,JACKSON AV,Strathcona
2014,7,1,20,20,CSG - Licenses,Animal Control,Lost Pets Case,30##,E 18TH AV,Renfrew-Collingwood
2014,7,1,20,21,CSG - Licenses,Animal Control,Lost Pets Case,30##,E 18TH AV,Renfrew-Collingwood
2014,7,1,20,21,PRB - Planning and Operations,Vegetation,Vegetation Maintenance SR,1900, - 1999 BURRARD ST,Fairview
2014,7,1,20,31,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,11##,W 16TH AV,Fairview
2014,7,1,20,35,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),7##,W 59TH AV,Marpole
2014,7,1,20,43,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,46##,CAMBIE ST,Riley Park
2014,7,1,20,46,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,17##,VENABLES ST,Grandview-Woodland
2014,7,1,20,58,ENG - Water & Sewer,Sewers and Drainage Design,Sewer Design General Inquiries,7##,E 39TH AV,Kensington-Cedar Cottage
2014,7,1,21,53,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,0, - 0 BURRARD BRIDGE,
2014,7,1,21,55,ENG - Solid Waste,Sanitation,Cart - Garbage,37##,LANARK ST,Kensington-Cedar Cottage
2014,7,2,7,7,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,39##,W 34TH AV,Dunbar Southlands
2014,7,2,7,8,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),17##,E 8TH AV,Grandview-Woodland
2014,7,2,7,12,CSG - Licenses,Animal Control,Dead Animal Pickup Case,14##,RICHARDS ST,Downtown
2014,7,2,7,16,ENG - Solid Waste,Sanitation,Cart - Garbage,29##,E 29TH AV,Renfrew-Collingwood
2014,7,2,7,17,CSG - Inspections,Property Use,PUI Noise Complaint Case,20##,TRIUMPH ST,Grandview-Woodland
2014,7,2,7,25,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,33##,MAYFAIR AV,Dunbar Southlands
2014,7,2,7,28,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,66##,GLADSTONE ST,Victoria-Fraserview
2014,7,2,7,41,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,46##,W 10TH AV,West Point Grey
2014,7,2,7,42,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,46##,W 10TH AV,West Point Grey
2014,7,2,7,49,ENG - Solid Waste,Sanitation,Cart - Garbage,32##,W 14TH AV,Kitsilano
2014,7,2,7,55,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,35##,W KING EDWARD AV,Dunbar Southlands
2014,7,2,7,57,Business Planning & Services,311 Contact Centre,Citizen Feedback,32##,W 51ST AV,Kerrisdale
2014,7,2,7,58,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,HOMER ST and W CORDOVA ST,Downtown
2014,7,2,8,0,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,27##,W 20TH AV,Arbutus Ridge
2014,7,2,8,1,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,31##,W 18TH AV,Arbutus Ridge
2014,7,2,8,1,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,62##,BRUCE ST,Victoria-Fraserview
2014,7,2,8,3,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),31##,W 18TH AV,Arbutus Ridge
2014,7,2,8,6,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,19##,HARRISON DRIVE,Victoria-Fraserview
2014,7,2,8,11,ENG - Solid Waste,Sanitation,Recycling Box Request,43##,CAMBIE ST,Riley Park
2014,7,2,8,15,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,7##,E 27TH AV,Kensington-Cedar Cottage
2014,7,2,8,17,Public Safety - Fire,Prevention,FPB_General Inquiry Case,36##,E HASTINGS ST,Hastings-Sunrise
2014,7,2,8,19,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,Intersection,BUTE ST and NELSON ST,West End
2014,7,2,8,21,ENG - Solid Waste,Sanitation,Recycling Box Request,35##,TANNER ST,Renfrew-Collingwood
2014,7,2,8,21,Public Safety - Fire,Prevention,FPB_General Inquiry Case,36##,E HASTINGS ST,Hastings-Sunrise
2014,7,2,8,22,ENG - Solid Waste,Sanitation,Recycling Bag Request,35##,TANNER ST,Renfrew-Collingwood
2014,7,2,8,22,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,35##,TANNER ST,Renfrew-Collingwood
2014,7,2,8,23,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,8##,BROUGHTON ST,West End
2014,7,2,8,25,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,##,E HASTINGS ST,Downtown
2014,7,2,8,30,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,7##,E BROADWAY,Mount Pleasant
2014,7,2,8,31,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,BOYD DIVERSION and E 22ND AV and RENFREW ST,Renfrew-Collingwood
2014,7,2,8,37,ENG - Solid Waste,Sanitation,Cart - Garbage,14##,E 20TH AV,Kensington-Cedar Cottage
2014,7,2,8,39,ENG - Solid Waste,Sanitation,Recycling Box Request,14##,E 20TH AV,Kensington-Cedar Cottage
2014,7,2,8,39,ENG - Solid Waste,Sanitation,Recycling Bag Request,14##,E 20TH AV,Kensington-Cedar Cottage
2014,7,2,8,47,CSG - Inspections,Property Use,PUI Noise Complaint Case,20##,W 4TH AV,Kitsilano
2014,7,2,8,48,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1500, - 1599 YEW ST,Kitsilano
2014,7,2,8,49,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,10##,BUTE ST,West End
2014,7,2,8,49,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,1##,JACKSON AV,Strathcona
2014,7,2,8,51,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,Intersection,LAUREL ST and W KENT AV SOUTH,Marpole
2014,7,2,8,52,ENG - Streets,Traffic and Electrical Operations,Street and Traffic Light - Utility Damage,Intersection,DENMAN ST and NELSON ST,West End
2014,7,2,8,53,CSG - Inspections,Property Use,PUI Noise Complaint Case,##,W 1ST AV,
2014,7,2,8,53,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,22##,FRASERVIEW DRIVE,Victoria-Fraserview
2014,7,2,8,53,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,26##,BIRCH ST,Fairview
2014,7,2,8,55,CSG - Inspections,Property Use,PUI Noise Complaint Case,10##,DENMAN ST,West End
2014,7,2,8,55,ENG - Solid Waste,Sanitation,Cart - Garbage,22##,FRASERVIEW DRIVE,Victoria-Fraserview
2014,7,2,8,57,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,73##,WEST BOULEVARD,Kerrisdale
2014,7,2,8,58,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,16##,E BROADWAY,Kensington-Cedar Cottage
2014,7,2,8,59,CSG - Licenses,Animal Control,Lost Pets Case,##,W 61ST AV,Marpole
2014,7,2,8,59,ENG - Solid Waste,Sanitation,Cart - Garbage,23##,E 28TH AV,Kensington-Cedar Cottage
2014,7,2,8,59,ENG - Water & Sewer,Water Operations,Water Service Turn On/Off Request,16##,E BROADWAY,Kensington-Cedar Cottage
2014,7,2,9,2,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,5##,E CORDOVA ST,Strathcona
2014,7,2,9,3,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,12##,E 49TH AV,Sunset
2014,7,2,9,4,ENG - Solid Waste,Sanitation,Missed Apartment Recycling Pickup,1##,DUNLEVY AV,Strathcona
2014,7,2,9,6,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,54##,VICTORIA DRIVE,Kensington-Cedar Cottage
2014,7,2,9,9,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,17##,WATERLOO ST,Kitsilano
2014,7,2,9,9,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,35##,W 11TH AV,Kitsilano
2014,7,2,9,9,ENG - Solid Waste,Sanitation,Recycling Box Request,35##,W 11TH AV,Kitsilano
2014,7,2,9,10,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),25##,W 34TH AV,Arbutus Ridge
2014,7,2,9,12,ENG - Solid Waste,Sanitation,Cart - Garbage,25##,W 34TH AV,Arbutus Ridge
2014,7,2,9,15,ENG - Water & Sewer,Sewers Operations,Sewer General Inquiries,##,E 17TH AV,Riley Park
2014,7,2,9,16,ENG - Solid Waste,Sanitation,Cart - Garbage,28##,E 22ND AV,Renfrew-Collingwood
2014,7,2,9,16,Business Planning & Services,311 Contact Centre,Citizen Feedback,59##,FREMLIN ST,Oakridge
2014,7,2,9,17,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,23##,BRUNSWICK ST,Mount Pleasant
2014,7,2,9,18,ENG - Solid Waste,Sanitation,Recycling Bag Request,19##,STAINSBURY AV,Kensington-Cedar Cottage
2014,7,2,9,19,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,4##,DUNLEVY AV,Strathcona
2014,7,2,9,19,ENG - Solid Waste,Sanitation,Cart - Garbage,28##,W 22ND AV,Arbutus Ridge
2014,7,2,9,20,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),28##,W 22ND AV,Arbutus Ridge
2014,7,2,9,22,ENG - Streets,Traffic and Electrical Operations,Street and Traffic Light - Utility Damage,Intersection,DENMAN ST and NELSON ST,West End
2014,7,2,9,22,Business Planning & Services,311 Contact Centre,Citizen Feedback,23##,BRUNSWICK ST,Mount Pleasant
2014,7,2,9,24,ENG - Solid Waste,Sanitation,Cart - Apartment Recycling,10##,BARCLAY ST,West End
2014,7,2,9,25,ENG - Solid Waste,Sanitation,Cart - Garbage,46##,W 9TH AV,West Point Grey
2014,7,2,9,26,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,29##,W 19TH AV,Arbutus Ridge
2014,7,2,9,28,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,5##,E HASTINGS ST,Strathcona
2014,7,2,9,30,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,5##,E HASTINGS ST,Strathcona
2014,7,2,9,34,ENG - Solid Waste,Sanitation,Collection Calendar Mail-Out Request,16##,NOOTKA ST,Hastings-Sunrise
2014,7,2,9,37,ENG - Streets,Streets Operations,Streets - General Issues,35##,W 14TH AV,Kitsilano
2014,7,2,9,41,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,28##,W 10TH AV,Kitsilano
2014,7,2,9,48,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,32##,NEW BRIGHTON ROAD,Hastings-Sunrise
2014,7,2,9,49,ENG - Solid Waste,Sanitation,Parks Litter Can or Cart Request,32##,NEW BRIGHTON ROAD,Hastings-Sunrise
2014,7,2,9,50,CSG - Inspections,Property Use,PUI Noise Complaint Case,10##,COMOX ST,West End
2014,7,2,9,50,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,22##,FRASERVIEW DRIVE,Victoria-Fraserview
2014,7,2,9,50,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,7##,E 16TH AV,Mount Pleasant
2014,7,2,9,56,ENG - Streets,Streets Operations,Street - Repair,31##,W 19TH AV,Arbutus Ridge
2014,7,2,9,57,Business Planning & Services,311 Contact Centre,Citizen Feedback,27##,GRANVILLE ST,Fairview
2014,7,2,10,0,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,18##,HARRISON DRIVE,Victoria-Fraserview
2014,7,2,10,4,CSG - Licenses,License Office,Licence Payment Request Case,58##,ADERA ST,Kerrisdale
2014,7,2,10,5,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,18##,W 16TH AV,Shaughnessy
2014,7,2,10,7,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,81##,FREMLIN ST,Marpole
2014,7,2,10,8,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,68##,RUPERT ST,Killarney
2014,7,2,10,9,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,1300, - 1399 E 3RD AV,Grandview-Woodland
2014,7,2,10,10,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,W 22ND AV and YUKON ST,Riley Park
2014,7,2,10,12,CSG - Licenses & Inspections,Administration Branch,Occupancy Permit Information Request,50##,VICTORIA DRIVE,Kensington-Cedar Cottage
2014,7,2,10,12,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,24##,PINE ST,Fairview
2014,7,2,10,14,PRB - Planning and Operations,Street Trees,Street Tree Work Request SR,27##,OLIVER CRESCENT,Arbutus Ridge
2014,7,2,10,14,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,31##,SASAMAT ST,West Point Grey
2014,7,2,10,16,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,W 16TH AV,West Point Grey
2014,7,2,10,17,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,W 16TH AV,West Point Grey
2014,7,2,10,18,CSG - Licenses,Animal Control,Animal Control General Inquiry Case,10##,E 16TH AV,Kensington-Cedar Cottage
2014,7,2,10,19,ENG - Water & Sewer,Water Operations,Water Meter Issue,36##,LOUGHEED HIGHWAY,Hastings-Sunrise
2014,7,2,10,22,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,32##,E 45TH AV,Killarney
2014,7,2,10,24,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,7##,WOODLAND DRIVE,Grandview-Woodland
2014,7,2,10,24,ENG - Solid Waste,Sanitation,Cart - Garbage,8##,W 22ND AV,South Cambie
2014,7,2,10,24,ENG - Solid Waste,Sanitation,Missed Garbage Pickup,73##,TOBA PLACE,Killarney
2014,7,2,10,26,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,7##,KINGSWAY,Kensington-Cedar Cottage
2014,7,2,10,27,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,7##,KINGSWAY,Kensington-Cedar Cottage
